Folio,type_org,gender,municipalidad,senapesca,marinos,capitania_puerto,subpesca,fap,ffpa,condeferacion,caletas_cerca,caletas_lejos,comunidad,prodemu,sernam,average
1,2,2,0,0,4,4,-10,0,0,-8.2,7,0,10,,,0.618181818
2,2,2,10,10,10,10,-5.1,-5.1,3.1,-10,8,7,10,,,4.354545455
3,2,2,0,-10,0,0,-10,-10,-10,-10,0,0,10,,,-3.636363636
4,2,2,10,0,10,10,0,-10,-10,-10,10,8.6,10,,,2.6
5,2,2,10,10,10,-7,0,0,-10,10,10,10,10,,,4.818181818
6,1,1,10,10,10,10,-10,10,7.2,-10,10,0,10,0,0,5.2
7,1,1,-1,-4,0,0,-10,-10,-10,-10,-10,-10,2.2,0,0,-5.709090909
8,1,1,1.1,5.7,5.7,5.7,0,5.1,5.8,-10,-4,5.2,10,-10,0,2.754545455
9,1,1,3.8,10,4,-10,4,-10,-10,-10,-4,-10,10,-10,-10,-2.018181818
10,1,1,0,0,7.5,0,-5.5,-5.5,-5.5,,5.4,-10,10,-10,-10,-0.36
11,3,1,10,-10,-9,-10,-10,-10,10,,-10,-10,10,-10,-10,-3.9
12,3,1,10,10,0,0,5,-10,10,-8,-10,-10,4,-10,-10,0.090909091
13,3,2,10,0,0,0,-10,-10,10,-9,-10,-10,10,-10,-10,-1.727272727
14,3,2,10,9,10,10,10,10,10,10,0,-8,10,10,-10,7.363636364
15,3,1,3,-6.5,-5,-10,0,-10,10,-10,0,-10,0,-10,-10,-3.5
16,3,1,-10,10,-10,-10,-10,10,-10,-10,-7.5,-10,-10,-10,-10,-6.136363636
17,3,2,-8,-10,-5,-10,0,-10,-10,8,0,-10,2,-,-,-4.818181818
18,3,1,-4.6,6.4,3,0,4.5,10,10,10,10,10,8.5,0,-7.5,6.163636364
19,3,2,-6,0,0,0,4,-7,-10,0,5.1,2,-8,-10,-10,-1.809090909
20,3,2,-10,0,6,6,,,0,4.8,5,-8,10,,,1.533333333
21,4,2,-8,3,3,4,1,-8,-8,5,8,-8,6,-10,-10,-0.181818182
22,4,1,-10,-10,10,10,-8,0,-10,-10,10,-10,-8,-10,-10,-3.272727273
23,4,2,6,0,0,0,0,-10,-10,0,6,0,0,,,-0.727272727
24,4,2,-10,-10,-3.5,0,-7,-10,-10,-10,-10,-10,4.5,-10,-10,-6.909090909
25,4,2,0,0,10,10,0,10,0,10,-6,-10,10,-10,-10,3.090909091
26,4,2,10,-10,-10,-10,-10,-10,-10,-4,-7.8,-10,10,,,-5.618181818
27,4,1,10,7.6,-10,,-2,,,10,10,-10,10,-10,-10,3.2
28,4,2,-6.1,-10,-10,-10,-6,-10,7.5,0.5,-6.1,-10,8,,,-4.745454545
29,4,1,0,6.3,-5.5,-5.5,0,-5.1,-7,2.1,5,-10,8.1,,,-1.054545455
30,4,1,10,10,-10,-10,,,,0,7,-10,10,-10,-10,0.875
31,3,1,-10,-2,-10,-10,-2,-10,-10,10,-10,-6.7,-10,-10,-10,-6.427272727
