Type of Association,attribute,N,mean,sd,std.error,signif_diff
Men (n=25),Entrepreneurship,25,16.496,5.132858203119714,1.0265716406239427,b
Men (n=25),Leadership,25,13.66,5.602677931132575,1.1205355862265152,b
Men (n=25),Norm Compliance,25,14.22,4.489896064127395,0.897979212825479,NA
Men (n=25),Participation in Activities,25,11.676,5.848239051201651,1.1696478102403305,b
Men (n=25),Social Capital,25,7.948,3.5402589359160346,0.7080517871832069,NA
Men (n=25),Trust,25,12.424,5.600169640287693,1.1200339280575389,NA
Mixed - M (n=31),Entrepreneurship,31,18.22258064516129,3.494825668272009,0.6276892196809198,ab
Mixed - M (n=31),Leadership,31,16.980645161290322,4.294369907591312,0.7712916042676309,ab
Mixed - M (n=31),Norm Compliance,31,14.451612903225806,5.2047331643253285,0.9347976719474227,NA
Mixed - M (n=31),Participation in Activities,31,15.225925925925926,5.523905571561915,1.0630761229064483,ab
Mixed - M (n=31),Social Capital,31,10.338709677419354,4.197275101726106,0.7538528623349797,NA
Mixed - M (n=31),Trust,31,14.887096774193548,5.090366190853978,0.9142567571352127,NA
Mixed - W (n=29),Entrepreneurship,29,19.362068965517242,2.095473658201588,0.3891196896008481,a
Mixed - W (n=29),Leadership,29,18.651724137931033,2.362145013338387,0.4386393170751085,a
Mixed - W (n=29),Norm Compliance,29,14.562068965517241,5.6964533949456815,1.0578048395842536,NA
Mixed - W (n=29),Participation in Activities,29,16.942307692307693,5.34102410231769,1.0474610046264337,a
Mixed - W (n=29),Social Capital,29,10.796551724137931,4.0842452317778974,0.7584252995130083,NA
Mixed - W (n=29),Trust,29,14.120689655172415,4.568242809279299,0.848301393344005,NA
Women (n=30),Entrepreneurship,30,19.433333333333334,1.9471169373758965,0.35549328956705084,a
Women (n=30),Leadership,30,18.386666666666667,2.7465003855481425,0.5014400717871177,a
Women (n=30),Norm Compliance,30,16.446666666666665,4.219963501503655,0.7704564005406792,NA
Women (n=30),Participation in Activities,30,18.343333333333334,2.729239294462247,0.4982886421354856,a
Women (n=30),Social Capital,30,8.633333333333333,5.1637552048961375,0.9427684023854418,NA
Women (n=30),Trust,30,14.39,4.4996819810998305,0.8215257742159704,NA
